Repository,Company Name,Company URL,Description,Job Page,Tags,Language
mattermost/focalboard,Mattermost,https://mattermost.com,"Focalboard is an open source, self-hosted alternative to Trello, Notion, and Asana.",https://mattermost.com/careers/,"asana, collaboration, goal-tracking, golang, hacktoberfest, kanban-board, notion, project, project-management, trello",TypeScript
posthog/posthog,PostHog,https://posthog.com,Open-source product analytics platform. Alternative to Mixpanel and Amplitude.,https://posthog.com/careers,"analytics, product-analytics, data-analytics, self-hosted, open-source, mixpanel-alternative",Python
supabase/supabase,Supabase,https://supabase.com,The open source Firebase alternative. Build a complete backend in minutes.,https://supabase.com/careers,"backend, database, firebase-alternative, postgres, realtime, self-hosted",TypeScript
gitlab,GitLab,https://about.gitlab.com,GitLab is an open source end-to-end software development platform with built-in version control and CI/CD.,https://about.gitlab.com/jobs/,"ci-cd, devops, git, gitlab, version-control, collaboration, ruby",Ruby
airbytehq/airbyte,Airbyte,https://airbyte.com,Open-source data integration platform that syncs data from applications and databases to warehouses.,https://airbyte.com/company/careers,"data-integration, etl, elt, data-pipeline, data-engineering",Python
temporalio/temporal,Temporal Technologies,https://temporal.io,Temporal is a microservice orchestration platform which enables developers to build scalable applications without sacrificing productivity or reliability.,https://temporal.io/careers,"workflow, orchestration, microservices, durable-execution, fault-tolerance",Go
strapi/strapi,Strapi,https://strapi.io,Open source Node.js Headless CMS to easily build customisable APIs.,https://strapi.io/careers,"cms, headless-cms, nodejs, api, content-management",TypeScript
n8n-io/n8n,n8n,https://n8n.io,Free and source-available fair-code licensed workflow automation tool.,https://n8n.io/careers/,"workflow-automation, low-code, integration, automation, zapier-alternative",TypeScript
dagster-io/dagster,Dagster Labs,https://dagster.io,An orchestration platform for the development and observation of data assets.,https://dagster.io/company/careers,"data-orchestration, data-pipeline, workflow, etl, python",Python
mindsdb/mindsdb,MindsDB,https://mindsdb.com,Platform for building AI from enterprise data. Integrates with 200+ data sources.,https://mindsdb.com/careers,"machine-learning, ai, data-science, ml-ops, predictive-analytics",Python
appwrite/appwrite,Appwrite,https://www.appwrite.careers,Secure Backend Server for Web and Mobile developers. Open source Firebase alternative.,https://www.appwrite.careers/,"backend, baas, firebase-alternative, authentication, database",TypeScript
dbt-labs/dbt-core,dbt Labs,https://www.getdbt.com,"dbt enables data analysts and engineers to transform data using SQL, following software engineering practices.",https://www.getdbt.com/careers,"data-transformation, analytics, sql, data-engineering, dbt",Python
directus/directus,Directus,https://directus.io,"Open-source headless CMS and data platform. Turn any SQL database into an API, admin panel, and app backend.",https://directus.io/careers,"headless-cms, api, database, data-platform",TypeScript
calcom/cal.com,Cal.com,https://cal.com,"Open source scheduling infrastructure. Connect a billion people by 2031, calendly alternative.",https://cal.com/jobs,"scheduling, calendar, booking, calendly-alternative, open-source",TypeScript
